uniprot_id	bulk_abundance	new_single_cell_F1	new_single_cell_F3	new_single_cell_F5	new_single_cell_F7	new_single_cell_F9	new_single_cell_F11	new_single_cell_F13	new_single_cell_F15	new_single_cell_F17	new_single_cell_F19	old_single_cell_F3	old_single_cell_F4	old_single_cell_F5	query_id	score
A0A024QZ33	108407.129794947	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024QZ33	2.0
A0A024QZ42	2047788.66335739	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024QZ42	1.0
A0A024QZP7	1847277.28683974	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024QZP7	2.0
A0A024QZX5	876049.760602084	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024QZX5	1.0
A0A024R216	61652.6348863029	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024R216	2.0
A0A024R3B9	256592.010724744	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024R3B9	1.0
A0A024R4E5	577741.697086506	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024R4E5	2.0
A0A024R4M0	7134879.78304339	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024R4M0	2.0
A0A024R571	780871.99496652	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024R571	2.0
A0A024R6X1	4370.17860410703	False	False	False	False	False	False	False	False	False	False	False	False	False	O00748	5.0
A0A024RA52	2293415.87025723	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024RA52	2.0
A0A024RAC6	4617.45195648223	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024RAC6	1.0
A0A024RBT2	303498.531750363	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024RBT2	2.0
A0A024RCQ8	70880.9410346339	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024RCQ8	2.0
A0A024RCR6	227868.46078614	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A024RCR6	2.0
A0A067XG54	22683.2668898933	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A067XG54	2.0
A0A075B6E2	8732876.48902865	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B6E2	2.0
A0A075B6E4	493.86557182024	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B6E4	1.0
A0A075B6E5	1821.38750011794	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B6E5	1.0
A0A075B6F6	15125.4387529072	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B6F6	2.0
A0A075B6F9	5690.985892277	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B6F9	2.0
A0A075B6G3	13052.7040986187	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B6G3	5.0
A0A075B6H4	775.393335642511	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B6H4	1.0
A0A075B6J4	8415.76599922465	False	False	False	False	False	False	False	False	False	False	False	False	False	P01717	4.0
A0A075B6Q4	86799.3601479368	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B6Q4	1.0
A0A075B720	98739.7388476823	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B720	1.0
A0A075B730	1216.71020350568	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B730	1.0
A0A075B736	768039.684363902	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B736	3.0
A0A075B738	865.11640179268	False	False	False	False	False	False	False	False	False	False	False	False	False	P16284	5.0
A0A075B747	1543.83880273212	False	False	False	False	False	False	False	False	False	False	False	False	False	Q9P281	3.0
A0A075B752	247807.454614872	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B752	1.0
A0A075B7B1	354.42681728304	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B7B1	2.0
A0A075B7B2	1560.19030210223	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B7B2	1.0
A0A075B7D9	493767.747030893	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A075B7D9	1.0
A0A087WSW9	710.435993743939	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WSW9	0.0
A0A087WSY9	2540337.1473686	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WSY9	0.0
A0A087WT20	216363.916999323	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WT20	3.0
A0A087WT30	56509.9281663207	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WT30	1.0
A0A087WT35	96668.1550732688	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WT35	1.0
A0A087WT38	89698.102273726	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WT38	1.0
A0A087WT44	762.28528499053	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WT44	2.0
A0A087WT48	441615.625510026	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WT48	1.0
A0A087WT51	342524.868300567	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WT51	1.0
A0A087WT95	31288.0049630435	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WT95	1.0
A0A087WT99	396517.660522314	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WT99	2.0
A0A087WTA8	4880.36365255015	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTA8	0.0
A0A087WTB6	31118.6409313187	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTB6	1.0
A0A087WTB8	540971.08509066	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTB8	2.0
A0A087WTE5	1762.0659666775	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTE5	1.0
A0A087WTF6	281.194479779174	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTF6	2.0
A0A087WTH8	199608.605463513	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTH8	2.0
A0A087WTK2	192677.254812873	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTK2	2.0
A0A087WTL3	846017.674718024	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTL3	2.0
A0A087WTM4	42262.61075779	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTM4	1.0
A0A087WTT6	9293930.4279324	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTT6	2.0
A0A087WTV6	457693.417359226	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTV6	2.0
A0A087WTX2	95108.7128430849	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTX2	0.0
